IntensityIn IntensityOut Luminance
7.108669108669108949e-01 8.745098039219999508e-01 3.530999999999999659e+02
7.189255189255189249e-01 8.784313725489999447e-01 3.563666666666666174e+02
7.255189255189254949e-01 8.823529411760000496e-01 3.606333333333333826e+02
7.340659340659340115e-01 8.862745098040000213e-01 3.644666666666666970e+02
7.418803418803419092e-01 8.901960784310000152e-01 3.690000000000000000e+02
7.511599511599511558e-01 8.941176470589999870e-01 3.735666666666666060e+02
7.604395604395604025e-01 8.980392156859999808e-01 3.765666666666666629e+02
7.665445665445665968e-01 9.019607843139999526e-01 3.810666666666666060e+02
7.758241758241758435e-01 9.058823529409999464e-01 3.847000000000000455e+02
7.831501831501831434e-01 9.098039215690000292e-01 3.890333333333333030e+02
7.919413919413919034e-01 9.137254901960000231e-01 3.930333333333333030e+02
8.000000000000000444e-01 9.176470588239999948e-01 3.978000000000000114e+02
8.097680097680097777e-01 9.215686274509999887e-01 4.025000000000000000e+02
8.192918192918192677e-01 9.254901960779999825e-01 4.066333333333333826e+02
8.278388278388277843e-01 9.294117647059999543e-01 4.104666666666666970e+02
8.356532356532356820e-01 9.333333333329999482e-01 4.145333333333333030e+02
8.439560439560439553e-01 9.372549019610000309e-01 4.190999999999999659e+02
8.532356532356532020e-01 9.411764705880000248e-01 4.243666666666666174e+02
8.639804639804640196e-01 9.450980392159999965e-01 4.281000000000000796e+02
8.715506715506715629e-01 9.490196078429999904e-01 4.324666666666666970e+02
8.803418803418803229e-01 9.529411764709999622e-01 4.380333333333333030e+02
8.918192918192918706e-01 9.568627450979999560e-01 4.427666666666666515e+02
9.013431013431013605e-01 9.607843137249999499e-01 4.457333333333333485e+02
9.074481074481074439e-01 9.647058823530000327e-01 4.503666666666666174e+02
9.167277167277166905e-01 9.686274509800000265e-01 4.545666666666666060e+02
9.252747252747253182e-01 9.725490196079999983e-01 4.592333333333333485e+02
9.347985347985348081e-01 9.764705882349999921e-01 4.639000000000000341e+02
9.443223443223442981e-01 9.803921568629999639e-01 4.698666666666666174e+02
9.565323565323565758e-01 9.843137254899999578e-01 4.730666666666666629e+02
9.631257631257631457e-01 9.882352941180000405e-01 4.773000000000000114e+02
9.716727716727716624e-01 9.921568627450000344e-01 4.824000000000000341e+02
9.819291819291818824e-01 9.960784313730000061e-01 4.865999999999999659e+02
9.904761904761905100e-01 1.000000000000000000e+00 4.913000000000000114e+02
